Name,Quantity,Component
"K1",1," Relay DPDT"
"D1",1,"Red LED"
"R1, R2, R4",3,"220 Ω Resistor"
"S1",1," Slideswitch"
"M1",1," DC Motor"
"BAT1",1," 9V Battery"
"T1",1," NPN Transistor (BJT)"
"Rpot1",1,"250 kΩ Potentiometer"
"D2",1," Diode"
"SERVO1",1,"Positional Micro Servo"
"DIST1",1," Ultrasonic Distance Sensor"
"U2",1," Temperature Sensor [TMP36]"
"R3",1," Photoresistor"
"UWifiArduino, UGlavniArduino_1",2," Arduino Uno R3"
"U4",1," Wifi Module (ESP8266)"
"R7",1,"20 kΩ Resistor"
"R8",1,"10 kΩ Resistor"
